Curs;Estudi;Codi àrea territorial;Àrea territorial;Codi comarca;Comarca;Codi municipi;Municipi;Codi districte;Naturalesa;Titularitat;Nivell;Sexe;Concert;Resultat de l'avaluació;Alumnes avaluats
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801902;PRIVAT;ALTRES CONFESIONS RELIGIOSES;3;HOME;SI;PROMOCIONEN SENSE PENDENTS;5
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801902;PRIVAT;ALTRES CONFESIONS RELIGIOSES;4;DONA;SI;PROMOCIONEN SENSE PENDENTS;13
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801902;PRIVAT;ALTRES CONFESIONS RELIGIOSES;4;HOME;SI;PROMOCIONEN SENSE PENDENTS;15
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801902;PRIVAT;ESGLÉSIA CATÒLICA;1;DONA;SI;NO PROMOCIONEN;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801902;PRIVAT;ESGLÉSIA CATÒLICA;1;DONA;SI;PROMOCIONEN AMB PENDENTS;9
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801902;PRIVAT;ESGLÉSIA CATÒLICA;1;DONA;SI;PROMOCIONEN SENSE PENDENTS;15
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801902;PRIVAT;ESGLÉSIA CATÒLICA;1;HOME;SI;NO PROMOCIONEN;4
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801902;PRIVAT;ESGLÉSIA CATÒLICA;1;HOME;SI;PROMOCIONEN AMB PENDENTS;9
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801902;PRIVAT;ESGLÉSIA CATÒLICA;1;HOME;SI;PROMOCIONEN SENSE PENDENTS;10
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801902;PRIVAT;ESGLÉSIA CATÒLICA;2;DONA;SI;PROMOCIONEN AMB PENDENTS;2
